장,제목,분류,코드,박자,가사검색,풀가사,악보-ID,미디-ID,가사-ID
1,만복의 근원 하나님,송영,Ab,4/4,1.만복의근원하나님온백성찬송드리고저천사여찬송하세찬송성부성자성령아멘,"<b>1장 |  만복의 근원 하나님 | 송영</b><br/>
1. 만복의 근원 하나님 온 백성 찬송 드리고 저 천사여 찬송하세 찬송 성부 성자 성령 아멘",1v4OP5z9WeHL0OfRmHTg34Ulc_EAPJahz,1FuFWbOwRts0vH3o89J1duvOjSbVh8H1u,1bUR8SK-7XEXpMnQ6IuExv7W1VRD_yE-s
2,찬양 성부 성자 성령,송영,G,6/4,1.찬양성부성자성령성삼위일체께영원무궁하기까지영광을돌리세영광을돌리세아멘,"<b>2장 |  찬양 성부 성자 성령 | 송영</b><br/>
1. 찬양 성부 성자 성령 성 삼위 일체께 영원무궁하기까지 영광을 돌리세 영광을 돌리세 아멘",1V64cRjfVjWGoZmHbovK9Zsd9Ru-Iv-cr,1PE2R2AmRSHDQ5y9LbqysDN8PabYsWDJ_,11s1Mbt9oX6bcOPB-QI1FA6iaB7uwBkbz
